yo,abandono,abandonas,abandona,abandonamos,TRUE,FALSE,FALSE,FALSE
tu',abarco,abarcas,abarca,abarcamos,FALSE,TRUE,FALSE,FALSE
e'l / ella / usted,abordo,abordas,aborda,abordamos,FALSE,FALSE,TRUE,FALSE
nosotros / nosotras,abrazo,abrazas,abraza,abrazamos,FALSE,FALSE,FALSE,TRUE
ustedes,abre,abrimos,abren,abren,FALSE,FALSE,TRUE,TRUE
ellos / ellas,absorbe,absorbemos,absorben,absorben,FALSE,FALSE,TRUE,TRUE
yo,abundo,abundas,abunda,abundamos,TRUE,FALSE,FALSE,FALSE
tu',aburro,aburres,aburre,aburrimos,FALSE,TRUE,FALSE,FALSE
e'l / ella usted,abuso,abusas,abusa,abusamos,FALSE,FALSE,TRUE,FALSE
nosotros / nosotras,acabo,acabas,acaba,acabamos,FALSE,FALSE,FALSE,TRUE
